keyword,title,affiliateLink,imageUrl,price,description
,TOSY Magnet Pyramid Stone - 1 Cube Transforms into 1 Billion Shapes,https://www.amazon.com/dp/B0DMSVXBDV?tag=brucebookst06-20&linkCode=ll2&language=en_US,"https://images-na.ssl-images-amazon.com/images/I/81uMwvkWmHL._AC_UL450_SR450,320_.jpg",$22.76,Best selling product: TOSY Magnet Pyramid Stone - 1 Cube Transforms into 1 Billion Shapes
,Shashibo Shape Shifting Box - Award-Winning STEM Fidget Toy,https://www.amazon.com/dp/B07W7FLKRW?tag=brucebookst06-20&linkCode=ll2&language=en_US,"https://images-na.ssl-images-amazon.com/images/I/81d4KaOgrCL._AC_UL450_SR450,320_.jpg",$24.99,Best selling product: Shashibo Shape Shifting Box - Award-Winning STEM Fidget Toy
,PULIDIKI Car Cleaning Gel Clean Putty,https://www.amazon.com/dp/B081T7N948?tag=brucebookst06-20&linkCode=ll2&language=en_US,"https://images-na.ssl-images-amazon.com/images/I/71YLxhnPUxL._AC_UL450_SR450,320_.jpg",$6.29,Best selling product: PULIDIKI Car Cleaning Gel Clean Putty
,Kaistyle for Magsafe Car Mount【20 Strong Magnets】,https://www.amazon.com/dp/B0C1Y8Z6VT?tag=brucebookst06-20&linkCode=ll2&language=en_US,"https://images-na.ssl-images-amazon.com/images/I/81Q62aaTOpL._AC_UL450_SR450,320_.jpg",$9.98,Best selling product: Kaistyle for Magsafe Car Mount【20 Strong Magnets】
,Drift Car Air Freshener - The Original Wood Air Freshener,https://www.amazon.com/dp/B0C1HJV7BJ?tag=brucebookst06-20&linkCode=ll2&language=en_US,"https://images-na.ssl-images-amazon.com/images/I/717n+0jibbL._AC_UL450_SR450,320_.jpg",$12.95,Best selling product: Drift Car Air Freshener - The Original Wood Air Freshener
,Read This When Bible Verses Jar for Daily Encouragement,https://www.amazon.com/dp/B0D3LM83KH?tag=brucebookst06-20&linkCode=ll2&language=en_US,"https://images-na.ssl-images-amazon.com/images/I/81TEq7i8gmL._AC_UL450_SR450,320_.jpg",$16.99,Best selling product: Read This When Bible Verses Jar for Daily Encouragement
,Hearth and Homestead: Handmade Whipped Tallow Balm,https://www.amazon.com/dp/B0BJMSH4JX?tag=brucebookst06-20&linkCode=ll2&language=en_US,"https://images-na.ssl-images-amazon.com/images/I/71Eg3z49xRL._AC_UL450_SR450,320_.jpg",$29.99,Best selling product: Hearth and Homestead: Handmade Whipped Tallow Balm
,THEMEROL Natural Gemstone Bracelet for Son Grandson Dad,https://www.amazon.com/dp/B0C6G7WVP8?tag=brucebookst06-20&linkCode=ll2&language=en_US,"https://images-na.ssl-images-amazon.com/images/I/81KSfer7h6L._AC_UL450_SR450,320_.jpg",$12.99,Best selling product: THEMEROL Natural Gemstone Bracelet for Son Grandson Dad
,"TOSY Flying Ring - Super Bright, Lost Mode, Auto Light Up",https://www.amazon.com/dp/B0DDL1FC2J?tag=brucebookst06-20&linkCode=ll2&language=en_US,"https://images-na.ssl-images-amazon.com/images/I/91ozB+WhRoL._AC_UL450_SR450,320_.jpg",$17.09,"Best selling product: TOSY Flying Ring - Super Bright, Lost Mode, Auto Light Up"
,OLANLY Dog Door Mat for Muddy Paws 30x20,https://www.amazon.com/dp/B0BWT84GZ7?tag=brucebookst06-20&linkCode=ll2&language=en_US,"https://images-na.ssl-images-amazon.com/images/I/91DPeVsH5BL._AC_UL450_SR450,320_.jpg",$9.99,Best selling product: OLANLY Dog Door Mat for Muddy Paws 30x20
